sku;catalog_desc;id_product;similar_desc;elastic_score;normalize_score;preco_medio;categoria;marca;cor;atributo_1;atributo_2;atributo_3;atributo_4;atributo_5;atributo_6
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;62296355; BANQUETA GIRATORIA HELMOND MARROM;22.586702;72.12105564113709;346.89;BANQUETAS;HELMOND;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;27003508;BANQUETA GIRATORIA AMSTERDAM MARROM;22.586702;72.12105564113709;390.92;BANQUETAS;NAO INFORMADO;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;53430214;BANQUETA GIRATORIA VENLO PRETA PRETO;28.558249;100.0;545.78;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;41544839;BANQUETA GIRATORIA VENLO PRETA;27.581484;100.0;505.44;BANQUETAS;NAO INFORMADO;PRETA;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;88486012;BANQUETA GIRATORIA DELFT PRETA PRETO;19.391605;67.9019396462297;593.95;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;75014854;BANQUETA GIRATORIA AMSTERDAM PRETA PRETO;19.391605;67.9019396462297;519.55;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;58617785;BANQUETA GIRATORIA GOUDA PRETA PRETO;19.391605;67.9019396462297;537.69;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;73655026;BANQUETA GIRATORIA KINNEY PRETA PRETO;19.391605;67.9019396462297;401.06;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;53500442;BANQUETA GIRATORIA BERGEN PRETA PRETO;19.391605;67.9019396462297;564.55;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;81237837;BANQUETA GIRATORIA HELMOND PRETA PRETO;19.391605;67.9019396462297;520.04;BANQUETAS;HELMOND;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;80621115;BANQUETA GIRATORIA ALMERE PRETA PRETO;19.391605;67.9019396462297;569.06;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH35NMAMOB-670789;BANQUETA GIRATORIA VENLO PRETA;88345498;BANQUETA GIRATORIA BASE ESTRELA FITZ PRETA PRETO;18.411558;64.47019213257788;409.98;BANQUETAS;NAO INFORMADO;PRETO;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
